Hispanic_Origin	Race	Year	ICD10.130.Infants	ICD10.Code	Deaths	Population	Crude_Rate
Not Hispanic or Latino	Black or African American	1999	#Bacterial sepsis of newborn (P36)	GR130-106	249	568719	43.8
Not Hispanic or Latino	Black or African American	1999	"All other infections specific to the perinatal period (P35,P37,P39)"	GR130-108	55	568719	9.7
Not Hispanic or Latino	Black or African American	1999	Hemorrhagic and hematological disorders of newborn (P50-P61)	GR130-109	154	568719	27.1
Not Hispanic or Latino	Black or African American	1999	"#Neonatal hemorrhage (P50-P52,P54)"	GR130-110	123	568719	21.6
Not Hispanic or Latino	Black or African American	1999	#Hemorrhagic disease of newborn (P53)	GR130-111	1	568719	Unreliable
Not Hispanic or Latino	Black or African American	1999	#Hemolytic disease of newborn due to isoimmunization and other perinatal jaundice (P55-P59)	GR130-112	5	568719	Unreliable
Not Hispanic or Latino	Black or African American	1999	#Hematological disorders (P60-P61)	GR130-113	25	568719	4.4
Not Hispanic or Latino	Black or African American	1999	#Syndrome of infant of a diabetic mother and neonatal diabetes mellitus (P70.0-P70.2)	GR130-114	3	568719	Unreliable
Not Hispanic or Latino	Black or African American	1999	#Necrotizing enterocolitis of newborn (P77)	GR130-115	172	568719	30.2
Not Hispanic or Latino	Black or African American	1999	#Hydrops fetalis not due to hemolytic disease (P83.2)	GR130-116	29	568719	5.1
Not Hispanic or Latino	Black or African American	1999	"Other perinatal conditions (P29,P70.3-P70.9,P71-P76,P78-P81,P83.0-P83.1,P83.3-P83.9,P90-P96)"	GR130-117	461	568719	81.1
Not Hispanic or Latino	Black or African American	1999	"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"	GR130-118	994	568719	174.8
Not Hispanic or Latino	Black or African American	1999	Anencephaly and similar malformations (Q00)	GR130-119	37	568719	6.5
Not Hispanic or Latino	Black or African American	1999	Congenital hydrocephalus (Q03)	GR130-120	23	568719	4
Not Hispanic or Latino	Black or African American	1999	Spina bifida (Q05)	GR130-121	3	568719	Unreliable
Not Hispanic or Latino	Black or African American	1999	"Other congenital malformations of nervous system (Q01-Q02,Q04,Q06-Q07)"	GR130-122	54	568719	9.5
Not Hispanic or Latino	Black or African American	1999	Congenital malformations of heart (Q20-Q24)	GR130-123	285	568719	50.1
Not Hispanic or Latino	Black or African American	1999	Other congenital malformations of circulatory system (Q25-Q28)	GR130-124	55	568719	9.7
Not Hispanic or Latino	Black or African American	1999	Congenital malformations of respiratory system (Q30-Q34)	GR130-125	117	568719	20.6
Not Hispanic or Latino	Black or African American	1999	Congenital malformations of digestive system (Q35-Q45)	GR130-126	22	568719	3.9
Not Hispanic or Latino	Black or African American	1999	Congenital malformations of genitourinary system (Q50-Q64)	GR130-127	63	568719	11.1
Not Hispanic or Latino	Black or African American	1999	"Congenital malformations and deformations of musculoskeletal system, limbs and integument (Q65-Q85)"	GR130-128	90	568719	15.8
Not Hispanic or Latino	Black or African American	1999	Down's syndrome (Q90)	GR130-129	11	568719	Unreliable
Not Hispanic or Latino	Black or African American	1999	Edward's syndrome (Q91.0-Q91.3)	GR130-130	65	568719	11.4
Not Hispanic or Latino	Black or African American	1999	Patau's syndrome (Q91.4-Q91.7)	GR130-131	48	568719	8.4
Not Hispanic or Latino	Black or African American	1999	"Other congenital malformations and deformations (Q10-Q18,Q86-Q89)"	GR130-132	95	568719	16.7
Not Hispanic or Latino	Black or African American	1999	"Other chromosomal abnormalities, not elsewhere classified (Q92-Q99)"	GR130-133	26	568719	4.6
Not Hispanic or Latino	Black or African American	1999	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	GR130-134	1149	568719	202
Not Hispanic or Latino	Black or African American	1999	#Sudden infant death syndrome (R95)	GR130-135	827	568719	145.4
Not Hispanic or Latino	Black or African American	1999	"Other symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R53,R55-R94,R96-R99)"	GR130-136	322	568719	56.6
Not Hispanic or Latino	Black or African American	1999	"All other diseases (F00-F99,H00-H57,L00-M99)"	GR130-137	8	568719	Unreliable
Not Hispanic or Latino	Black or African American	1999	"External causes of mortality (*U01,V01-Y84)"	GR130-138	401	568719	70.5
Not Hispanic or Latino	Black or African American	1999	#Accidents (unintentional injuries) (V01-X59)	GR130-139	251	568719	44.1
Not Hispanic or Latino	Black or African American	1999	Transport accidents (V01-V99)	GR130-140	44	568719	7.7
Not Hispanic or Latino	Black or African American	1999	"Motor vehicle accidents (V02-V04,V09.0,V09.2,V12-V14,V19.0-V19.2,V19.4-V19.6,V20-V79,V80.3-V80.5,V81.0-V81.1,V82.0-V82.1,V83-V86,V87.0-V87.8,V88.0-V88.8,V89.0,V89.2)"	GR130-141	43	568719	7.6
Not Hispanic or Latino	Black or African American	1999	"Other and unspecified transport accidents (V01,V05-V06,V09.1,V09.3-V09.9,V10-V11,V15-V18,V19.3,V19.8-V19.9,V80.0-V80.2,V80.6-V80.9,V81.2-V81.9,V82.2-V82.9,V87.9,V88.9,V89.1,V89.3,V89.9,V90-V99)"	GR130-142	1	568719	Unreliable
Not Hispanic or Latino	Black or African American	1999	Falls (W00-W19)	GR130-143	2	568719	Unreliable
Not Hispanic or Latino	Black or African American	1999	Accidental drowning and submersion (W65-W74)	GR130-145	21	568719	3.7
Not Hispanic or Latino	Black or African American	1999	Accidental suffocation and strangulation in bed (W75)	GR130-146	80	568719	14.1
Not Hispanic or Latino	Black or African American	1999	"Other accidental suffocation and strangulation (W76-W77,W81-W84)"	GR130-147	54	568719	9.5
Not Hispanic or Latino	Black or African American	1999	Accidental inhalation and ingestion of food or other objects causing obstruction of respiratory tract (W78-W80)	GR130-148	19	568719	Unreliable
Not Hispanic or Latino	Black or African American	1999	"Accidents caused by exposure to smoke, fire and flames (X00-X09)"	GR130-149	15	568719	Unreliable
Not Hispanic or Latino	Black or African American	1999	Accidental poisoning and exposure to noxious substances (X40-X49)	GR130-150	1	568719	Unreliable
Not Hispanic or Latino	Black or African American	1999	"Other and unspecified accidents (W20-W31,W35-W64,W85-W99,X10-X39,X50-X59)"	GR130-151	15	568719	Unreliable
Not Hispanic or Latino	Black or African American	1999	"#Assault (homicide) (*U01,X85-Y09)"	GR130-152	114	568719	20
Not Hispanic or Latino	Black or African American	1999	"Assault (homicide) by hanging, strangulation and suffocation (X91)"	GR130-153	11	568719	Unreliable
Not Hispanic or Latino	Black or African American	1999	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	GR130-154	2	568719	Unreliable
Not Hispanic or Latino	Black or African American	1999	"Neglect, abandonment and other maltreatment syndromes (Y06-Y07)"	GR130-155	44	568719	7.7
Not Hispanic or Latino	Black or African American	1999	"Assault (homicide) by other and unspecified means (*U01.0-*U01.3,*U01.5-*U01.9,X85-X90,X92,X96-X99,Y00-Y05,Y08-Y09)"	GR130-156	57	568719	10
Not Hispanic or Latino	Black or African American	1999	#Complications of medical and surgical care (Y40-Y84)	GR130-157	18	568719	Unreliable
Not Hispanic or Latino	Black or African American	1999	Other external causes (Y10-Y36)	GR130-158	18	568719	Unreliable
Not Hispanic or Latino	Black or African American	2000	Certain infectious and parasitic diseases (A00-B99)	GR130-001	177	576855	30.7
Not Hispanic or Latino	Black or African American	2000	Certain intestinal infectious diseases (A00-A08)	GR130-002	4	576855	Unreliable
Not Hispanic or Latino	Black or African American	2000	#Diarrhea and gastroenteritis of infectious origin (A09)	GR130-003	1	576855	Unreliable
Not Hispanic or Latino	Black or African American	2000	#Whooping cough (A37)	GR130-007	1	576855	Unreliable
Not Hispanic or Latino	Black or African American	2000	#Meningococcal infection (A39)	GR130-008	3	576855	Unreliable
Not Hispanic or Latino	Black or African American	2000	#Septicemia (A40-A41)	GR130-009	96	576855	16.6
Not Hispanic or Latino	Black or African American	2000	#Congenital syphilis (A50)	GR130-010	1	576855	Unreliable
Not Hispanic or Latino	Black or African American	2000	Viral diseases (A80-B34)	GR130-012	43	576855	7.5
Not Hispanic or Latino	Black or African American	2000	#Human immunodeficiency virus (HIV) disease (B20-B24)	GR130-016	9	576855	Unreliable
Not Hispanic or Latino	Black or African American	2000	"Other and unspecified viral diseases (A81-B00,B02-B04,B06-B19,B25,B27-B34)"	GR130-018	34	576855	5.9
Not Hispanic or Latino	Black or African American	2000	#Candidiasis (B37)	GR130-019	11	576855	Unreliable
Not Hispanic or Latino	Black or African American	2000	#Pneumocystosis (B59)	GR130-021	2	576855	Unreliable
Not Hispanic or Latino	Black or African American	2000	"All other and unspecified infectious and parasitic diseases (A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99)"	GR130-022	15	576855	Unreliable
Not Hispanic or Latino	Black or African American	2000	Neoplasms (C00-D48)	GR130-023	20	576855	3.5
Not Hispanic or Latino	Black or African American	2000	#Malignant neoplasms (C00-C97)	GR130-024	11	576855	Unreliable
Not Hispanic or Latino	Black or African American	2000	Hodgkin's disease and non-Hodgkin's lymphomas (C81-C85)	GR130-025	1	576855	Unreliable
Not Hispanic or Latino	Black or African American	2000	"Other and unspecified malignant neoplasms (C00-C80,C88,C90,C96-C97)"	GR130-027	10	576855	Unreliable
Not Hispanic or Latino	Black or African American	2000	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	GR130-028	9	576855	Unreliable
Not Hispanic or Latino	Black or African American	2000	#Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89)	GR130-029	14	576855	Unreliable
Not Hispanic or Latino	Black or African American	2000	Anemias (D50-D64)	GR130-030	4	576855	Unreliable
Not Hispanic or Latino	Black or African American	2000	Hemorrhagic conditions and other diseases of blood and blood-forming organs (D65-D76)	GR130-031	6	576855	Unreliable
Not Hispanic or Latino	Black or African American	2000	Certain disorders involving the immune mechanism (D80-D89)	GR130-032	4	576855	Unreliable
Not Hispanic or Latino	Black or African American	2000	"Endocrine, nutritional and metabolic diseases (E00-E88)"	GR130-033	55	576855	9.5
Not Hispanic or Latino	Black or African American	2000	"#Short stature, not elsewhere classified (E34.3)"	GR130-034	6	576855	Unreliable
Not Hispanic or Latino	Black or African American	2000	#Nutritional deficiencies (E40-E64)	GR130-035	5	576855	Unreliable
Not Hispanic or Latino	Black or African American	2000	"#Volume depletion, disorders of fluid, electrolyte and acid-base balance (E86-E87)"	GR130-037	20	576855	3.5
Not Hispanic or Latino	Black or African American	2000	"All other endocrine, nutritional and metabolic diseases (E00-E32,E34.0-E34.2,E34.4-E34.9,E65-E83,E85,E88)"	GR130-038	24	576855	4.2
Not Hispanic or Latino	Black or African American	2000	Diseases of the nervous system (G00-G98)	GR130-039	85	576855	14.7
Not Hispanic or Latino	Black or African American	2000	"#Meningitis (G00,G03)"	GR130-040	34	576855	5.9
Not Hispanic or Latino	Black or African American	2000	"#Infantile spinal muscular atrophy, type I (Werdnig-Hoffman) (G12.0)"	GR130-041	2	576855	Unreliable
Not Hispanic or Latino	Black or African American	2000	#Infantile cerebral palsy (G80)	GR130-042	1	576855	Unreliable
Not Hispanic or Latino	Black or African American	2000	"#Anoxic brain damage, not elsewhere classified (G93.1)"	GR130-043	7	576855	Unreliable
Not Hispanic or Latino	Black or African American	2000	"Other diseases of nervous system (G04,G06-G11,G12.1-G12.9,G20-G72,G81-G92,G93.0,G93.2-G93.9,G95-G98)"	GR130-044	41	576855	7.1
Not Hispanic or Latino	Black or African American	2000	#Diseases of the ear and mastoid process (H60-H93)	GR130-045	3	576855	Unreliable
Not Hispanic or Latino	Black or African American	2000	#Diseases of the circulatory system (I00-I99)	GR130-046	171	576855	29.6
Not Hispanic or Latino	Black or African American	2000	Pulmonary heart disease and diseases of pulmonary circulation (I26-I28)	GR130-047	47	576855	8.1
Not Hispanic or Latino	Black or African American	2000	"Pericarditis, endocarditis and myocarditis (I30,I33,I40)"	GR130-048	8	576855	Unreliable
Not Hispanic or Latino	Black or African American	2000	Cardiomyopathy (I42)	GR130-049	21	576855	3.6
Not Hispanic or Latino	Black or African American	2000	Cardiac arrest (I46)	GR130-050	7	576855	Unreliable
Not Hispanic or Latino	Black or African American	2000	Cerebrovascular diseases (I60-I69)	GR130-051	46	576855	8
Not Hispanic or Latino	Black or African American	2000	"All other diseases of circulatory system (I00-I25,I31,I34-I38,I44-I45,I47-I51,I70-I99)"	GR130-052	42	576855	7.3
Not Hispanic or Latino	Black or African American	2000	"Diseases of the respiratory system (J00-J98,U04)"	GR130-053	229	576855	39.7
Not Hispanic or Latino	Black or African American	2000	#Acute upper respiratory infections (J00-J06)	GR130-054	1	576855	Unreliable
Not Hispanic or Latino	Black or African American	2000	#Influenza and pneumonia (J09-J18)	GR130-055	101	576855	17.5
Not Hispanic or Latino	Black or African American	2000	Influenza (J09-J11)	GR130-056	2	576855	Unreliable
Not Hispanic or Latino	Black or African American	2000	Pneumonia (J12-J18)	GR130-057	99	576855	17.2
Not Hispanic or Latino	Black or African American	2000	#Acute bronchitis and acute bronchiolitis (J20-J21)	GR130-058	13	576855	Unreliable
Not Hispanic or Latino	Black or African American	2000	"#Bronchitis, chronic and unspecified (J40-J42)"	GR130-059	7	576855	Unreliable
Not Hispanic or Latino	Black or African American	2000	#Asthma (J45-J46)	GR130-060	3	576855	Unreliable
Not Hispanic or Latino	Black or African American	2000	#Pneumonitis due to solids and liquids (J69)	GR130-061	1	576855	Unreliable
Not Hispanic or Latino	Black or African American	2000	"Other and unspecified diseases of respiratory system (J22,J30-J39,J43-J44,J47-J68,J70-J98,U04)"	GR130-062	103	576855	17.9
Not Hispanic or Latino	Black or African American	2000	Diseases of the digestive system (K00-K92)	GR130-063	176	576855	30.5
Not Hispanic or Latino	Black or African American	2000	"#Gastritis, duodenitis, and noninfective enteritis and colitis (K29,K50-K55)"	GR130-064	99	576855	17.2
Not Hispanic or Latino	Black or African American	2000	"#Hernia of abdominal cavity and intestinal obstruction without hernia (K40-K46,K56)"	GR130-065	14	576855	Unreliable
Not Hispanic or Latino	Black or African American	2000	"All other and unspecified diseases of digestive system (K00-K28,K30-K38,K57-K92)"	GR130-066	63	576855	10.9
Not Hispanic or Latino	Black or African American	2000	Diseases of the genitourinary system (N00-N95)	GR130-067	76	576855	13.2
Not Hispanic or Latino	Black or African American	2000	"#Renal failure and other disorders of kidney (N17-N19,N25,N27)"	GR130-068	66	576855	11.4
Not Hispanic or Latino	Black or African American	2000	"Other and unspecified diseases of genitourinary system (N00-N15,N20-N23,N26,N28-N95)"	GR130-069	10	576855	Unreliable
Not Hispanic or Latino	Black or African American	2000	Certain conditions originating in the perinatal period (P00-P96)	GR130-070	4836	576855	838.3
Not Hispanic or Latino	Black or African American	2000	"Newborn affected by maternal factors and by complications of pregnancy, labor and delivery (P00-P04)"	GR130-071	890	576855	154.3
Not Hispanic or Latino	Black or African American	2000	#Newborn affected by maternal hypertensive disorders (P00.0)	GR130-072	21	576855	3.6
Not Hispanic or Latino	Black or African American	2000	#Newborn affected by other maternal conditions which may be unrelated to present pregnancy (P00.1-P00.9)	GR130-073	23	576855	4
Not Hispanic or Latino	Black or African American	2000	#Newborn affected by maternal complications of pregnancy (P01)	GR130-074	506	576855	87.7
Not Hispanic or Latino	Black or African American	2000	Newborn affected by incompetent cervix (P01.0)	GR130-075	163	576855	28.3
Not Hispanic or Latino	Black or African American	2000	Newborn affected by premature rupture of membranes (P01.1)	GR130-076	231	576855	40
Not Hispanic or Latino	Black or African American	2000	Newborn affected by multiple pregnancy (P01.5)	GR130-077	53	576855	9.2
Not Hispanic or Latino	Black or African American	2000	"Newborn affected by other maternal complications of pregnancy (P01.2-P01.4,P01.6-P01.9)"	GR130-078	59	576855	10.2
Not Hispanic or Latino	Black or African American	2000	"#Newborn affected by complications of placenta, cord and membranes (P02)"	GR130-079	295	576855	51.1
Not Hispanic or Latino	Black or African American	2000	Newborn affected by complications involving placenta (P02.0-P02.3)	GR130-080	122	576855	21.1
Not Hispanic or Latino	Black or African American	2000	Newborn affected by complications involving cord (P02.4-P02.6)	GR130-081	10	576855	Unreliable
Not Hispanic or Latino	Black or African American	2000	Newborn affected by chorioamnionitis (P02.7)	GR130-082	162	576855	28.1
Not Hispanic or Latino	Black or African American	2000	Newborn affected by other and unspecified abnormalities of membranes (P02.8-P02.9)	GR130-083	1	576855	Unreliable
